request_id,created_at,status,category,department,origin,division,neighborhood,latitude,longitude
1,2024-05-16 16:58:00,Closed,Water Leak,DPW – Street Maint,Call Center,Central,Strip District,40.43141692082398,-80.03890908296859
2,2024-12-13 00:15:00,New,Accessibility,DOMI – TrafficShop,Other,Central,Carrick,40.536398355969546,-79.98519459765285
3,2024-09-24 04:16:00,New,General Inquiry,DPW – Street Maint,Other,East,East Liberty,40.43184541361272,-80.02500353512687
4,2024-08-06 12:14:00,Closed,Streetlight,Public Safety,Mobile App,South,Downtown,40.40470291121857,-79.86039652720522
5,2024-02-26 22:43:00,Closed,Trees/Public Space,DOMI – TrafficShop,Website,Central,Strip District,40.4092480475459,-80.05217029030317
6,2024-02-26 22:30:00,New,General Inquiry,DPW – Refuse,Call Center,West,East Liberty,40.411287695122674,-80.12132600378426
7,2024-01-22 04:48:00,Open,Graffiti,Building Code,Call Center,South,Carrick,40.43292730497363,-79.9436901810072
8,2024-11-12 03:42:00,Closed,Graffiti,DOMI – Permits,Website,Central,Bloomfield,40.487294384741865,-79.86554919664906
9,2024-08-07 09:46:00,Closed,Noise,DPW – Street Maint,Call Center,South,East Liberty,40.47961661384526,-80.08588162333054
10,2024-09-15 10:42:00,Closed,General Inquiry,311 General,Call Center,West,Bloomfield,40.4329705015401,-80.13041559454254
11,2024-01-08 12:19:00,Closed,Noise,DOMI – Permits,Call Center,North,Brookline,40.47123178855166,-80.05618753269741
12,2024-12-20 00:24:00,Closed,Noise,Public Safety,Call Center,Central,Shadyside,40.35182504397247,-79.950371338556
13,2024-10-30 20:11:00,Closed,Noise,DOMI – TrafficShop,Call Center,West,Shadyside,40.39117295793291,-79.9792199376395
14,2024-03-18 12:05:00,Closed,Noise,DPW – Refuse,Website,East,Squirrel Hill,40.38518144632887,-79.89693486384913
15,2024-03-07 08:47:00,New,Trees/Public Space,311 General,Call Center,Central,Carrick,40.35826937779525,-79.99531800995625
16,2024-03-07 22:37:00,Closed,Water Leak,DOMI – Permits,Call Center,North,Shadyside,40.39338934218057,-80.07044328928203
17,2024-04-21 01:09:00,New,Road Repair,DPW – Street Maint,Call Center,West,Shadyside,40.465237961265025,-80.06476149299507
18,2024-07-10 12:51:00,New,Trees/Public Space,Building Code,Call Center,West,Downtown,40.462630797956265,-79.93668460730437
19,2024-06-06 15:50:00,Closed,Waste,PWSA,Mobile App,South,Strip District,40.35900392675487,-79.92973177246823
20,2024-04-16 07:10:00,On Hold,Noise,Public Safety,Call Center,Central,Beechview,40.34159054021339,-79.96634877210897
21,2024-08-11 07:49:00,Closed,Streetlight,Animal Care,Call Center,North,East Liberty,40.40312161382908,-79.99250104628516
22,2024-02-20 21:57:00,New,Streetlight,DPW – Street Maint,Call Center,East,Brookline,40.34763157466156,-80.02602317430487
23,2024-04-16 15:11:00,Closed,General Inquiry,DPW – Refuse,Other,South,Carrick,40.469582135169155,-80.09906956959037
24,2024-05-13 17:19:00,Closed,General Inquiry,DPW – Refuse,Website,Central,Shadyside,40.46024256303062,-80.01635378727262
25,2024-06-15 11:10:00,Closed,Waste,Animal Care,Call Center,North,Brookline,40.467274850113604,-79.9460457804765
26,2024-10-13 14:08:00,New,Trees/Public Space,DPW – Refuse,Call Center,South,Bloomfield,40.416792562841245,-80.11549995737123
27,2024-03-13 21:08:00,Open,Streetlight,DPW – Street Maint,Call Center,North,Shadyside,40.40019336211089,-79.98949833047445
28,2024-07-06 16:41:00,Closed,Animal Issue,DPW – Street Maint,Call Center,North,Beechview,40.345107766119675,-79.93074526551332
29,2024-08-04 05:33:00,New,Animal Issue,DPW – Street Maint,Website,South,Bloomfield,40.48704005709861,-79.94779081738483
30,2024-01-17 22:54:00,Closed,Road Repair,DOMI – TrafficShop,Call Center,South,Strip District,40.52352991214026,-79.95347571932426
31,2024-08-09 18:05:00,Closed,Animal Issue,311 General,Website,Central,Downtown,40.49980208243466,-80.0058692604526
32,2024-03-03 05:47:00,New,Accessibility,DPW – Street Maint,Call Center,South,Strip District,40.40223417833815,-80.0532688603001
33,2024-01-24 17:51:00,New,Noise,DPW – Street Maint,Call Center,Central,Strip District,40.37838096195525,-79.97289264348075
34,2024-12-12 08:14:00,New,Waste,Parks & Rec,Website,North,North Oakland,40.44787284877875,-80.1137629533152
35,2024-12-18 10:56:00,Closed,General Inquiry,DOMI – Permits,Call Center,South,Shadyside,40.50332990302271,-79.94737352858498
36,2024-10-22 01:33:00,New,Accessibility,Building Code,Website,Central,Bloomfield,40.38413646297932,-80.0501455272366
37,2024-04-21 04:24:00,On Hold,Water Leak,DOMI – Permits,Website,Central,Carrick,40.41695747224583,-80.04098763336974
38,2024-02-05 15:36:00,Closed,Noise,DPW – Street Maint,Other,East,East Liberty,40.362103871384726,-79.96663311587358
39,2024-09-06 17:52:00,Closed,Streetlight,311 General,Call Center,Central,Downtown,40.439655411963734,-79.92648349873727
40,2024-06-09 15:44:00,New,Noise,DOMI – Permits,Call Center,Central,Squirrel Hill,40.48427634986344,-80.01127533515682
41,2024-02-14 13:03:00,Open,General Inquiry,DPW – Street Maint,Call Center,East,Strip District,40.43474155098078,-79.97477716481721
42,2024-06-29 17:44:00,Closed,Graffiti,DPW – Refuse,Call Center,West,Brookline,40.45042885459603,-79.98413543394672
43,2024-01-13 13:14:00,Closed,Graffiti,311 General,Call Center,South,Brookline,40.42944225377586,-80.01024344219913
44,2024-11-27 21:38:00,Closed,Accessibility,Public Safety,Call Center,East,Downtown,40.43216055780421,-80.00100598474425
45,2024-04-04 10:54:00,New,Trees/Public Space,DPW – Street Maint,Call Center,Central,Squirrel Hill,40.441012314629965,-80.01239493084651
46,2024-08-29 19:41:00,Open,Streetlight,Parks & Rec,Call Center,Central,Strip District,40.4423535980099,-80.08441117118902
47,2024-04-23 18:35:00,Closed,General Inquiry,PWSA,Website,South,North Oakland,40.3923988269059,-80.05037828681185
48,2024-07-08 19:47:00,Open,General Inquiry,DPW – Street Maint,Website,North,Shadyside,40.46123890307881,-79.9052893075249
49,2024-07-18 13:10:00,Closed,General Inquiry,Public Safety,Call Center,East,Beechview,40.500124112526464,-80.05718172198713
50,2024-03-08 11:19:00,Closed,Animal Issue,Public Safety,Website,West,Carrick,40.44157143867855,-79.88784847507202
51,2024-12-19 21:33:00,New,General Inquiry,DOMI – Permits,Call Center,South,Downtown,40.52074874125299,-79.93143059271775
52,2024-10-09 22:09:00,Closed,Graffiti,DPW – Refuse,Call Center,South,East Liberty,40.42296517335805,-79.93279934904837
53,2024-12-08 22:00:00,Closed,Water Leak,DPW – Refuse,Call Center,East,Squirrel Hill,40.39231135466564,-79.98977235965185
54,2024-11-22 14:41:00,New,Waste,Parks & Rec,Website,Central,Beechview,40.458788207692876,-79.916738643747
55,2024-08-06 05:36:00,Closed,Noise,Parks & Rec,Call Center,Central,Carrick,40.40547550447101,-79.92325220138437
56,2024-12-02 11:37:00,Open,Waste,DOMI – TrafficShop,Call Center,West,Squirrel Hill,40.3609583645326,-80.00414288877248
57,2024-02-02 07:11:00,Open,Graffiti,Parks & Rec,Other,East,Squirrel Hill,40.405455553750436,-79.91041175945274
58,2024-03-12 12:48:00,New,Graffiti,Public Safety,Call Center,South,Carrick,40.50235467331997,-79.94931581094464
59,2024-01-17 12:11:00,Closed,Water Leak,Animal Care,Mobile App,East,Carrick,40.46422567835632,-79.91357788535935
60,2024-04-28 17:53:00,Closed,Road Repair,DPW – Refuse,Call Center,North,Bloomfield,40.471036228831814,-80.12399381034074
61,2024-05-21 20:48:00,Closed,Accessibility,DPW – Street Maint,Website,South,Brookline,40.54387218786867,-80.03246907123193
62,2024-04-09 01:01:00,New,Animal Issue,DOMI – Permits,Website,West,Beechview,40.45876621943001,-79.96650706209107
63,2024-10-29 11:44:00,Closed,Trees/Public Space,DPW – Street Maint,Mobile App,West,Brookline,40.40915721315568,-80.07743421980345
64,2024-05-10 05:09:00,Open,General Inquiry,Public Safety,Other,South,Downtown,40.49534859991863,-80.04019953138419
65,2024-04-12 12:59:00,Closed,General Inquiry,Building Code,Mobile App,Central,Beechview,40.41829594989361,-79.91199127686478
